,zipcode,income,state
362,36205,14661,AL
363,36206,182157,AL
364,36207,504837,AL
365,36250,109043,AL
366,36251,89070,AL
367,36255,33507,AL
368,36256,26186,AL
369,36258,28413,AL
370,36260,67851,AL
371,36262,21568,AL
372,36263,12735,AL
373,36264,161328,AL
374,36265,367171,AL
375,36266,98545,AL
376,36268,106148,AL
377,36269,19481,AL
378,36271,114934,AL
379,36272,192489,AL
380,36273,50817,AL
381,36274,162253,AL
382,36276,34853,AL
383,36277,101753,AL
384,36278,101325,AL
385,36279,45535,AL
386,36280,63376,AL
387,36301,689880,AL
388,36303,751655,AL
389,36305,555564,AL
390,36310,105923,AL
391,36311,48333,AL
392,36312,113872,AL
393,36314,9818,AL
394,36316,38570,AL
395,36317,6017,AL
396,36318,24260,AL
397,36319,46069,AL
398,36320,52686,AL
399,36321,31520,AL
400,36322,146222,AL
401,36323,160386,AL
402,36330,878630,AL
403,36340,85541,AL
404,36343,22269,AL
405,36344,89547,AL
406,36345,189917,AL
407,36346,26677,AL
408,36350,144310,AL
409,36351,75256,AL
410,36352,122455,AL
411,36353,37015,AL
412,36360,350898,AL
413,36362,73568,AL
414,36370,16752,AL
415,36371,10773,AL
416,36373,6821,AL
417,36374,23029,AL
418,36375,118236,AL
419,36376,34527,AL
420,36401,108830,AL
421,36420,218899,AL
422,36421,200225,AL
423,36425,10871,AL
424,36426,251957,AL
425,36432,33006,AL
426,36435,5232,AL
427,36436,7851,AL
428,36439,13629,AL
429,36441,66673,AL
430,36442,41640,AL
431,36444,7940,AL
432,36445,63145,AL
433,36446,11013,AL
434,36451,106633,AL
435,36453,41399,AL
436,36455,4695,AL
437,36456,28590,AL
438,36460,168412,AL
439,36467,169302,AL
440,36471,13305,AL
441,36474,49112,AL
442,36475,30399,AL
443,36477,74199,AL
444,36480,34726,AL
445,36481,2572,AL
446,36482,11956,AL
447,36483,7302,AL
448,36502,250877,AL
449,36505,31087,AL
450,36507,384132,AL
451,36509,26479,AL
452,36511,14271,AL
453,36513,10914,AL
454,36518,62811,AL
455,36521,100263,AL
456,36522,124890,AL
457,36523,49374,AL
458,36524,17321,AL
459,36525,41332,AL
460,36526,1091883,AL
461,36527,600655,AL
462,36528,51496,AL
463,36529,10998,AL
464,36530,192484,AL
465,36532,1204322,AL
466,36535,558774,AL
467,36538,5634,AL
468,36539,14373,AL
469,36540,11952,AL
470,36541,287042,AL
471,36542,378401,AL
472,36544,183804,AL
473,36545,180692,AL
474,36548,26501,AL
475,36549,116466,AL
476,36551,195595,AL
477,36553,54382,AL
478,36555,47113,AL
479,36556,5420,AL
480,36558,70597,AL
481,36559,53149,AL
482,36560,45106,AL
483,36561,334794,AL
484,36562,30495,AL
485,36564,83171,AL
486,36567,259705,AL
487,36568,6831,AL
488,36569,16464,AL
489,36571,398530,AL
490,36572,171019,AL
491,36574,28575,AL
492,36575,427721,AL
493,36576,95355,AL
494,36578,48964,AL
495,36579,37633,AL
496,36580,109959,AL
497,36582,490816,AL
498,36583,15840,AL
499,36584,11842,AL
500,36585,19635,AL
501,36587,196610,AL
502,36590,13983,AL
503,36602,34591,AL
504,36603,65666,AL
505,36604,212028,AL
506,36605,353467,AL
507,36606,333126,AL
508,36607,154283,AL
509,36608,1209567,AL
510,36609,481494,AL
511,36610,89396,AL
512,36611,75490,AL
513,36612,37963,AL
514,36613,173123,AL
515,36616,27130,AL
516,36617,146240,AL
517,36618,298861,AL
518,36619,361983,AL
519,36693,524147,AL
520,36695,1408908,AL
521,36701,350502,AL
522,36703,132681,AL
