,zipcode,tot_income,state,population,city,lat,long,county,av_income
2526,92230,32162,CA,4088,CABAZON,33.93,-116.77,Riverside,7867.0
2527,92231,723622,CA,40070,CALEXICO,32.69,-115.51,Imperial,18059.0
2528,92233,56365,CA,7770,CALIPATRIA,33.13,-115.52,Imperial,7254.0
2529,92234,935029,CA,53253,CATHEDRAL CITY,33.82,-116.45,Riverside,17558.0
2530,92236,539106,CA,44124,COACHELLA,33.7,-116.17,Riverside,12218.0
2531,92240,492017,CA,35684,DESERT HOT SPRINGS,33.92,-116.48,Riverside,13788.0
2532,92241,97166,CA,9212,DESERT HOT SPRINGS,33.83,-116.29,Riverside,10548.0
2533,92242,12443,CA,1332,EARP,34.15,-114.33,San Bernardino,9342.0
2534,92243,860003,CA,49425,EL CENTRO,32.77,-115.6,Imperial,17400.0
2535,92249,115854,CA,7960,HEBER,32.73,-115.47,Imperial,14555.0
2536,92250,163521,CA,8645,HOLTVILLE,32.83,-115.19,Imperial,18915.0
2537,92251,494815,CA,22496,IMPERIAL,32.86,-115.65,Imperial,21996.0
2538,92252,141777,CA,8874,JOSHUA TREE,34.15,-116.27,San Bernardino,15977.0
2539,92253,1422575,CA,39435,LA QUINTA,33.65,-116.27,Riverside,36074.0
2540,92254,155036,CA,12491,MECCA,33.55,-115.97,Riverside,12412.0
2541,92256,66250,CA,3105,MORONGO VALLEY,34.1,-116.58,San Bernardino,21337.0
2542,92257,14597,CA,1770,NILAND,33.3,-115.55,Imperial,8247.0
2543,92258,8064,CA,435,NORTH PALM SPRINGS,33.9,-116.56,Riverside,18538.0
2544,92259,3922,CA,197,OCOTILLO,32.72,-115.88,Imperial,19909.0
2545,92260,1022091,CA,33834,PALM DESERT,33.7,-116.4,Riverside,30209.0
2546,92262,814167,CA,27561,PALM SPRINGS,33.85,-116.56,Riverside,29541.0
2547,92264,694490,CA,19778,PALM SPRINGS,33.72,-116.51,Riverside,35114.0
2548,92268,16369,CA,505,PIONEERTOWN,34.21,-116.52,San Bernardino,32414.0
2549,92270,1023773,CA,17876,RANCHO MIRAGE,33.78,-116.41,Riverside,57271.0
