occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
Food Preparation and Serving Related,DC,55280,78.05,16.04,33350,24350,24630,26840,36100,47970
Building and Grounds Cleaning and Maintenance,DC,22350,31.551,16.05,33390,24500,25650,30680,38470,47200
Personal Care and Service,DC,14930,21.08,17.4,36190,24480,25650,29730,38330,53480
Sales and Related,DC,28170,39.779,22.9,47640,24360,24820,31510,58540,91490
Office and Administrative Support,DC,78510,110.851,25.34,52700,27790,36170,48650,63040,82150
"Farming, Fishing, and Forestry",DC,200,0.283,22.47,46730,24280,32000,42400,62320,71260
Construction and Extraction,DC,13440,18.976,26.75,55640,31820,38060,52450,66890,88830
"Installation, Maintenance, and Repair",DC,9630,13.601,27.58,57360,30700,41320,55990,70530,83540
Production,DC,5150,7.272,27.43,57050,25030,33880,52060,78590,93910
Transportation and Material Moving,DC,14970,21.14,22.08,45920,24490,25510,38280,54970,77020
All,FL,8419030,1000,21.53,44790,18960,23000,33420,52720,80350
Management,FL,341050,40.509,53.95,112210,44670,63540,94700,137510,203750
Business and Financial Operations,FL,445980,52.972,32.98,68610,34200,44700,60420,81310,107630
Computer and Mathematical,FL,198940,23.63,36.74,76420,36700,50440,71670,97540,123540
Architecture and Engineering,FL,102430,12.166,35.63,74110,35490,49030,67830,93820,121140
"Life, Physical, and Social Science",FL,38420,4.563,30.06,62520,29900,39100,54800,78060,103120
Community and Social Service,FL,92640,11.003,21.12,43930,25580,30920,39460,53090,69160
Legal,FL,86580,10.284,45.38,94400,34170,45710,64740,112310,202350
"Education, Training, and Library",FL,420230,49.914,23.5,48890,19530,28980,44690,57940,76930
"Arts, Design, Entertainment, Sports, and Media",FL,99110,11.772,24.29,50520,21090,29180,42750,61720,86550
Healthcare Practitioners and Technical,FL,523070,62.13,36.12,75140,30800,42720,59680,80710,128100
Healthcare Support,FL,250050,29.7,14.7,30570,20560,23150,27880,34690,43710
Protective Service,FL,235240,27.941,19.94,41480,19990,24130,34710,52740,74560
Food Preparation and Serving Related,FL,921580,109.464,12.21,25400,17940,18790,21100,27960,38770
Building and Grounds Cleaning and Maintenance,FL,325860,38.705,12.38,25750,18410,19880,23330,28600,36450
Personal Care and Service,FL,243940,28.975,12.9,26840,18180,19330,22610,29150,41480
Sales and Related,FL,1067960,126.85,18.28,38010,18090,19500,25260,42700,70430
Office and Administrative Support,FL,1432350,170.133,16.76,34860,20290,24860,31690,40860,54690
"Farming, Fishing, and Forestry",FL,21780,2.587,12.41,25800,18050,18980,21400,29500,38700
Construction and Extraction,FL,376890,44.766,19.14,39810,23190,28640,36350,47600,61260
"Installation, Maintenance, and Repair",FL,354920,42.156,20.37,42370,23060,29450,38690,52270,66920
Production,FL,314550,37.362,16.39,34100,19400,23090,30220,40070,54940
Transportation and Material Moving,FL,525490,62.417,16.89,35130,18750,21420,28680,39970,58360
All,GA,4303530,1000,22.69,47200,18020,22670,35040,57520,89520
Management,GA,246550,57.29,55.86,116180,44940,67650,100740,145770,205380
Business and Financial Operations,GA,234750,54.547,34.59,71950,34810,47190,64210,86870,115940
Computer and Mathematical,GA,140520,32.653,41.29,85890,42160,58120,81930,108280,132650
Architecture and Engineering,GA,61960,14.398,38.05,79150,40330,54480,73690,98120,125210
"Life, Physical, and Social Science",GA,23280,5.41,31.41,65340,32620,43490,58170,79380,103170
Community and Social Service,GA,47050,10.932,22.41,46610,23390,31760,41820,58350,76780
Legal,GA,30930,7.188,50.15,104310,39030,51130,75270,133800,#
"Education, Training, and Library",GA,272520,63.325,23.75,49410,18530,27450,47310,62890,78930
