occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
Food Preparation and Serving Related,NV,186940,142.682,12.69,26400,16890,18720,23650,31090,40020
Building and Grounds Cleaning and Maintenance,NV,71700,54.727,14.47,30090,18390,22340,30500,36720,40500
Personal Care and Service,NV,75610,57.706,13.21,27480,16740,18310,22090,30970,47720
Sales and Related,NV,141490,107.992,16.99,35340,17370,20240,26310,39430,62730
Office and Administrative Support,NV,202620,154.647,17.47,36350,20940,26400,34250,43880,56350
"Farming, Fishing, and Forestry",NV,660,0.501,16.07,33420,20620,26120,30320,39120,50630
Construction and Extraction,NV,68340,52.159,24.17,50280,27710,35030,46500,61980,80530
"Installation, Maintenance, and Repair",NV,50330,38.413,24.41,50770,26300,34780,48610,64150,78560
Production,NV,45680,34.861,17.71,36830,20870,24590,32130,44250,61150
Transportation and Material Moving,NV,97800,74.643,18.08,37610,19160,23320,30770,44390,60440
All,NH,649950,1000,24.54,51040,20020,26440,38900,61070,93580
Management,NH,36840,56.687,56.55,117620,52910,71820,101490,146170,201600
Business and Financial Operations,NH,28550,43.929,34.77,72330,38690,49520,65010,84100,110900
Computer and Mathematical,NH,19140,29.442,42.43,88260,46640,61340,82050,109720,137780
Architecture and Engineering,NH,13640,20.992,40.25,83720,46510,59170,77480,102360,130430
"Life, Physical, and Social Science",NH,4240,6.524,35.86,74590,37390,49160,64710,83150,118320
Community and Social Service,NH,8180,12.584,22.02,45800,25470,32420,43330,57890,71320
Legal,NH,3270,5.034,43.43,90330,40970,51310,72400,108590,171930
"Education, Training, and Library",NH,43880,67.518,25.45,52930,23060,31360,47720,66970,82840
"Arts, Design, Entertainment, Sports, and Media",NH,7450,11.466,23.87,49640,22080,29980,42340,61730,85970
Healthcare Practitioners and Technical,NH,39180,60.281,43.74,90980,36480,51640,69770,96190,180960
Healthcare Support,NH,16460,25.321,16.8,34940,24180,27900,33050,39460,49310
Protective Service,NH,11680,17.964,23.47,48810,25640,33370,46840,60950,75790
Food Preparation and Serving Related,NH,58620,90.189,11.96,24870,16720,18310,21950,28970,38110
Building and Grounds Cleaning and Maintenance,NH,21390,32.909,14.5,30160,19570,22700,28080,35510,44820
Personal Care and Service,NH,22180,34.133,13.35,27770,18060,20940,25030,31230,41640
Sales and Related,NH,79150,121.783,20.29,42210,17590,20690,27770,49550,83300
Office and Administrative Support,NH,110000,169.25,18.26,37990,21560,27730,35900,46080,58560
"Farming, Fishing, and Forestry",NH,710,1.1,16.78,34910,20580,26890,33150,40890,52050
Construction and Extraction,NH,21250,32.689,22.72,47250,28940,35280,44730,56780,68550
"Installation, Maintenance, and Repair",NH,25000,38.471,24.42,50800,28250,36260,47920,62540,78710
Production,NH,44980,69.208,18.98,39480,23890,28760,36160,47220,60800
Transportation and Material Moving,NH,34140,52.525,17.4,36200,19790,23680,32010,43030,54630
All,NJ,4007470,1000,27.39,56970,20110,26340,42500,71180,109330
Management,NJ,203850,50.868,72,149770,73470,98720,131230,180990,#
Business and Financial Operations,NJ,233820,58.345,40.84,84950,46560,59720,77380,100460,131180
Computer and Mathematical,NJ,139640,34.846,48.34,100540,53140,70220,94830,126390,158310
Architecture and Engineering,NJ,49430,12.335,43.99,91490,48480,64310,86270,114180,142280
"Life, Physical, and Social Science",NJ,36100,9.008,45.88,95430,43140,58250,82530,115670,161650
Community and Social Service,NJ,67560,16.858,25.96,54010,26600,35270,50390,69870,88950
Legal,NJ,33630,8.393,54.18,112690,45990,60850,88550,142160,#
"Education, Training, and Library",NJ,299950,74.848,28.77,59840,23640,31840,56810,77770,99730
"Arts, Design, Entertainment, Sports, and Media",NJ,44820,11.183,28.86,60030,22100,34060,52620,74860,104240
Healthcare Practitioners and Technical,NJ,231550,57.779,44.22,91980,41230,58660,78150,102480,147220
Healthcare Support,NJ,157770,39.369,15.01,31220,20930,23760,28800,36460,45650
Protective Service,NJ,109850,27.41,26.78,55700,20590,27020,42640,81410,112970
Food Preparation and Serving Related,NJ,305200,76.158,12.65,26320,18680,19650,23160,29540,38870
Building and Grounds Cleaning and Maintenance,NJ,126370,31.533,15.1,31400,19530,22450,28290,37170,49170
Personal Care and Service,NJ,119070,29.712,15.4,32040,18950,20430,25840,37340,54710
Sales and Related,NJ,406090,101.334,21.86,45470,18720,20520,29010,55020,91970
Office and Administrative Support,NJ,652000,162.695,19.56,40690,21620,28230,37920,50670,62200
"Farming, Fishing, and Forestry",NJ,4920,1.229,13.9,28910,19120,21420,25320,32010,43510
Construction and Extraction,NJ,120710,30.12,29.19,60710,30520,39380,56200,78820,100950
"Installation, Maintenance, and Repair",NJ,134660,33.601,25.56,53170,27620,36610,51310,65920,81850
Production,NJ,176210,43.971,18.8,39100,19910,24530,34310,49430,64290
Transportation and Material Moving,NJ,354270,88.403,17.93,37300,19420,22810,31260,45490,60180
All,NM,801080,1000,21.56,44840,18280,22530,33450,54870,84310
Management,NM,38550,48.127,46.17,96040,40690,59310,83640,116800,165790
Business and Financial Operations,NM,34740,43.362,31.5,65530,33170,43190,58220,79540,103620
Computer and Mathematical,NM,14750,18.411,37.62,78240,35380,51260,72670,100660,128840
Architecture and Engineering,NM,20440,25.509,44.43,92410,42790,61300,88030,119650,151330
"Life, Physical, and Social Science",NM,11570,14.438,39.48,82110,32860,47400,68240,111570,154700
Community and Social Service,NM,13580,16.953,21.8,45350,25570,32570,41960,54800,68570
Legal,NM,5770,7.197,36.41,75740,30760,43210,64820,93940,130100
"Education, Training, and Library",NM,52050,64.971,24.34,50620,19000,27020,45270,63850,87820
"Arts, Design, Entertainment, Sports, and Media",NM,9400,11.739,26.69,55500,18210,24490,41150,64300,96600
Healthcare Practitioners and Technical,NM,46490,58.04,37.85,78730,29940,45700,65050,88050,130690
Healthcare Support,NM,26560,33.157,13.95,29020,19070,22330,27580,34390,39820
Protective Service,NM,26060,32.535,20.21,42030,20820,27500,36880,51850,71660
Food Preparation and Serving Related,NM,80910,101.001,10.51,21870,16890,17890,19580,23860,30110
Building and Grounds Cleaning and Maintenance,NM,25670,32.046,11.91,24770,17510,19340,22820,28100,35180
Personal Care and Service,NM,39960,49.877,11.04,22970,16960,18070,20040,24570,33000
Sales and Related,NM,77590,96.852,15.5,32230,17420,19590,24480,36170,55850
Office and Administrative Support,NM,125150,156.231,16.56,34440,19960,24530,31160,40790,53620
"Farming, Fishing, and Forestry",NM,2780,3.47,12.6,26200,17120,18490,22120,29930,39450
Construction and Extraction,NM,48880,61.013,20.8,43270,25620,30680,38570,51240,67240
"Installation, Maintenance, and Repair",NM,32400,40.445,21.3,44290,22200,29180,39420,55870,74160
Production,NM,25370,31.672,18.77,39040,19090,23650,32770,47870,71650
Transportation and Material Moving,NM,42420,52.954,16.91,35170,18220,21800,30230,41710,61200
All,NY,9207870,1000,28.9,60100,21030,26750,43690,73720,117190
Management,NY,470690,51.118,73.36,152580,63220,88290,129840,195950,#
Business and Financial Operations,NY,543880,59.067,45.52,94680,43530,57820,79240,112100,163360
Computer and Mathematical,NY,259090,28.138,45.85,95370,45510,62640,87930,121680,157330
Architecture and Engineering,NY,112340,12.2,41.61,86550,47420,60900,79500,104700,133490
"Life, Physical, and Social Science",NY,66500,7.222,36.32,75550,33770,47460,66550,94280,126280
Community and Social Service,NY,178390,19.374,25.26,52550,27480,35390,47940,64370,83770
Legal,NY,111100,12.066,64.11,133360,45410,62810,103250,177440,#
"Education, Training, and Library",NY,684450,74.333,32.44,67470,23580,34350,57710,89340,124050
"Arts, Design, Entertainment, Sports, and Media",NY,201710,21.906,37.82,78660,28690,42300,63830,97180,141950
Healthcare Practitioners and Technical,NY,535900,58.201,43.44,90360,39300,54760,76880,104980,148580
Healthcare Support,NY,380640,41.338,14.82,30820,21280,23060,27360,36560,46280
Protective Service,NY,299880,32.568,25.22,52460,21600,28710,45000,71810,92540
Food Preparation and Serving Related,NY,750270,81.481,13.75,28590,20200,20460,23850,31410,44020
Building and Grounds Cleaning and Maintenance,NY,313920,34.092,16.72,34770,20490,23450,30730,42980,56440
Personal Care and Service,NY,405750,44.065,14.84,30860,20300,21890,25250,33540,47800
Sales and Related,NY,931500,101.164,24.8,51570,20190,21480,28970,57360,106760
Office and Administrative Support,NY,1487280,161.523,20.73,43110,21990,28420,38700,53480,69250
"Farming, Fishing, and Forestry",NY,4740,0.514,17.78,36970,21850,26280,32150,45000,58890
Construction and Extraction,NY,332420,36.102,30.97,64420,29980,39500,57550,85100,112590
"Installation, Maintenance, and Repair",NY,306590,33.296,25.23,52470,25710,34410,48830,66430,86910
Production,NY,328410,35.666,19.21,39950,20630,24970,34850,49170,65230
Transportation and Material Moving,NY,502440,54.567,19.88,41350,20590,24330,35230,51310,71810
All,NC,4298390,1000,22.15,46080,18170,23010,34750,54560,84860
Management,NC,183580,42.709,59.44,123640,55780,75800,106590,152180,#
Business and Financial Operations,NC,213810,49.742,35.59,74030,38760,50020,65530,88430,118640
Computer and Mathematical,NC,129080,30.03,41.53,86380,43430,60350,84120,109600,131940
Architecture and Engineering,NC,64360,14.973,37.89,78820,40620,54340,73080,97650,125670
"Life, Physical, and Social Science",NC,34940,8.128,32.89,68420,35240,45100,59590,82500,112790
Community and Social Service,NC,51520,11.987,21.49,44710,26840,34780,43520,53100,63310
Legal,NC,21570,5.019,44.99,93570,31350,41910,60890,117680,205770
"Education, Training, and Library",NC,277250,64.501,23.76,49410,21880,30090,43320,56860,75690
"Arts, Design, Entertainment, Sports, and Media",NC,42060,9.785,25.64,53330,20670,29420,43480,64380,94140
Healthcare Practitioners and Technical,NC,264860,61.619,35.98,74840,32880,44010,59080,79490,127680
Healthcare Support,NC,147990,34.43,13.31,27690,17730,20660,25420,31780,40310
Protective Service,NC,99920,23.245,18.57,38610,20410,25960,35670,47480,61680
Food Preparation and Serving Related,NC,421170,97.982,10.49,21810,16390,17460,19260,23780,31090
Building and Grounds Cleaning and Maintenance,NC,131100,30.499,12.24,25460,17090,19180,23400,29220,36980
Personal Care and Service,NC,113420,26.387,12.21,25400,16690,18210,21400,28300,40480
Sales and Related,NC,461060,107.264,18.96,39440,16800,18860,25340,45480,77190
Office and Administrative Support,NC,631920,147.013,17.03,35420,20240,25590,33100,42530,54970
"Farming, Fishing, and Forestry",NC,8220,1.912,15.66,32580,17960,21350,27330,38190,50160
Construction and Extraction,NC,157810,36.714,19.2,39940,24650,29750,37060,47810,60780
"Installation, Maintenance, and Repair",NC,182490,42.455,21.65,45030,24580,32030,42220,55820,70020
Production,NC,340210,79.148,16.6,34520,19740,24040,30960,41490,54780
Transportation and Material Moving,NC,320050,74.458,15.68,32620,18130,21780,28650,38990,52580
All,ND,416670,1000,23.14,48130,21430,28580,40040,58520,81170
Management,ND,21110,50.667,47.6,99010,43950,63040,87320,120400,163380
Business and Financial Operations,ND,17050,40.922,30.68,63810,35930,46100,59110,76140,95790
Computer and Mathematical,ND,7420,17.812,31.92,66390,38490,49460,62770,80080,99080
Architecture and Engineering,ND,6500,15.603,35.53,73910,41660,53250,67460,88350,114980
"Life, Physical, and Social Science",ND,3420,8.208,32.01,66580,34420,45580,60900,80710,109250
Community and Social Service,ND,5690,13.665,23.53,48950,29830,37110,49000,59080,69110
Legal,ND,2260,5.427,36.03,74940,32350,44850,67750,89970,132010
"Education, Training, and Library",ND,23200,55.684,24.03,49970,26430,34500,45510,59280,76530
"Arts, Design, Entertainment, Sports, and Media",ND,5160,12.385,20.26,42140,19630,26240,36210,51860,71640
Healthcare Practitioners and Technical,ND,25730,61.74,35.17,73160,33900,45400,58770,76270,114390
Healthcare Support,ND,12440,29.862,16.45,34230,25100,28520,33500,38640,45210
Protective Service,ND,6860,16.455,22.51,46820,23740,32340,43320,58010,74760
Food Preparation and Serving Related,ND,34690,83.265,11.89,24740,17020,19020,23060,28870,35950
Building and Grounds Cleaning and Maintenance,ND,14660,35.175,14.92,31040,19990,23170,28700,36070,45550
Personal Care and Service,ND,16630,39.909,14.39,29930,18040,21390,28100,36030,44410
Sales and Related,ND,37850,90.833,19.06,39640,18990,22510,30210,48020,71390
Office and Administrative Support,ND,58350,140.042,18.06,37550,22710,28270,35510,44630,55950
"Farming, Fishing, and Forestry",ND,1220,2.935,17.23,35830,22130,27950,35200,40680,50760
Construction and Extraction,ND,32680,78.437,25.8,53660,33370,39820,50880,61660,79640
"Installation, Maintenance, and Repair",ND,22640,54.337,26.01,54100,29760,38020,50140,65680,87250
Production,ND,24350,58.45,20.88,43430,24720,29850,37660,50580,73370
Transportation and Material Moving,ND,36740,88.185,21.67,45080,22870,30500,41170,56680,71900
All,OH,5370640,1000,22.57,46950,19100,23900,36500,57800,83690
Management,OH,237880,44.292,52.88,109990,46970,67560,95170,132600,192230
Business and Financial Operations,OH,270580,50.382,33.27,69200,35340,47360,62820,82790,107300
Computer and Mathematical,OH,148050,27.567,38.79,80690,40830,55730,76730,100140,124190
Architecture and Engineering,OH,95300,17.745,37.86,78760,42880,56490,74060,97260,123220
"Life, Physical, and Social Science",OH,36210,6.742,32.7,68010,33410,43890,60140,80810,107580
Community and Social Service,OH,79260,14.759,21.85,45440,25440,32850,42680,56230,69950
Legal,OH,31140,5.798,41.3,85900,33290,45930,65630,106920,158050
"Education, Training, and Library",OH,326210,60.74,27.11,56390,22580,32930,50930,70880,89710
"Arts, Design, Entertainment, Sports, and Media",OH,60500,11.264,22.32,46420,18950,24650,39460,59440,80390
Healthcare Practitioners and Technical,OH,359670,66.97,36.29,75480,32670,44410,59860,79960,127860
Healthcare Support,OH,192490,35.841,13.8,28700,19520,21790,25630,32090,40860
Protective Service,OH,118960,22.151,20.99,43660,19600,24730,39900,58760,75250
Food Preparation and Serving Related,OH,506230,94.258,10.83,22520,17920,18550,19660,23950,31530
Building and Grounds Cleaning and Maintenance,OH,160400,29.867,13.22,27500,18490,19950,24330,31890,41110
Personal Care and Service,OH,137170,25.54,12.24,25460,18220,19280,22170,27550,38100
Sales and Related,OH,510000,94.96,18.86,39230,18150,19520,25910,45070,76440
Office and Administrative Support,OH,815030,151.757,17.43,36260,20540,25930,33740,43600,56520
"Farming, Fishing, and Forestry",OH,4450,0.828,15.4,32040,18560,21110,28090,38060,51620
Construction and Extraction,OH,185480,34.536,23.43,48740,27280,34840,46500,61330,75220
"Installation, Maintenance, and Repair",OH,208120,38.752,22.07,45900,24890,32940,43730,57320,70900
Production,OH,490870,91.4,18.44,38340,22060,27280,35530,46780,59420
Transportation and Material Moving,OH,396620,73.851,16.58,34490,19070,22390,30440,41350,56700
All,OK,1573000,1000,20.84,43340,18030,22540,33630,51740,78140
Management,OK,87330,55.519,46.43,96580,40360,56630,79450,116690,169660
Business and Financial Operations,OK,69400,44.119,30.65,63750,32300,43090,58590,78260,100110
Computer and Mathematical,OK,31440,19.989,33.44,69560,34310,46580,64980,88560,111570
Architecture and Engineering,OK,26860,17.076,38.51,80110,39700,55140,73450,98610,125580
"Life, Physical, and Social Science",OK,10010,6.367,31.49,65490,25660,37710,55140,81190,114940
Community and Social Service,OK,24950,15.862,19.54,40640,21320,28930,37840,49970,63290
Legal,OK,12400,7.88,40.62,84480,28630,40800,62330,101920,162620
"Education, Training, and Library",OK,91970,58.465,19.31,40160,17910,25370,37260,48280,63230
"Arts, Design, Entertainment, Sports, and Media",OK,15170,9.642,20.09,41790,18460,24100,35900,51770,72160
Healthcare Practitioners and Technical,OK,96150,61.122,33.84,70390,27730,38440,54840,76400,122730
Healthcare Support,OK,46790,29.747,13.72,28540,19220,21840,25740,31830,40280
Protective Service,OK,35070,22.294,20.19,41990,20350,25180,36250,53580,73730
Food Preparation and Serving Related,OK,156740,99.645,10.16,21130,16360,17390,19100,22890,29140
Building and Grounds Cleaning and Maintenance,OK,44610,28.362,11.7,24330,16980,18870,22320,27390,34980
Personal Care and Service,OK,40690,25.868,11.23,23350,16530,17780,19960,25060,36060
Sales and Related,OK,162610,103.373,16.96,35270,16890,19080,24340,38710,63510
Office and Administrative Support,OK,255960,162.719,16.63,34590,19440,24020,31130,40940,54740
"Farming, Fishing, and Forestry",OK,2970,1.889,14.51,30190,17970,21450,27770,35830,46110
Construction and Extraction,OK,81480,51.798,20.9,43470,25630,30940,38750,51880,67710
"Installation, Maintenance, and Repair",OK,71820,45.658,21.42,44560,23240,30400,41510,56980,70800
Production,OK,102570,65.206,18.11,37670,20860,25830,33840,45540,59990
Transportation and Material Moving,OK,106020,67.399,17.09,35550,18530,23220,31590,42590,57320
All,OR,1830790,1000,24.52,51010,22200,26810,38840,61680,95160
Management,OR,112040,61.196,50.57,105190,44490,63200,92030,128190,179780
Business and Financial Operations,OR,87150,47.603,34.34,71430,38040,49460,64720,85170,109150
Computer and Mathematical,OR,53060,28.982,41.23,85750,42880,59190,82940,106960,130990
Architecture and Engineering,OR,41520,22.676,42.81,89040,46880,59780,79870,107970,143210
"Life, Physical, and Social Science",OR,20180,11.021,30.27,62960,32760,41730,58340,77930,98760
Community and Social Service,OR,37210,20.326,23.6,49080,26440,34250,45320,60010,77910
Legal,OR,12230,6.683,43.62,90720,38300,52920,74440,114350,152330
"Education, Training, and Library",OR,108650,59.346,28.28,58810,25730,33980,49280,74730,101770
"Arts, Design, Entertainment, Sports, and Media",OR,29370,16.044,26.68,55500,23280,31310,47180,68790,97160
Healthcare Practitioners and Technical,OR,97450,53.227,43.89,91280,39590,56950,81210,103100,141010
Healthcare Support,OR,49280,26.918,17.58,36570,23270,27950,35130,43440,51130
Protective Service,OR,33390,18.239,24.28,50500,22560,27040,46820,69430,84510
Food Preparation and Serving Related,OR,175270,95.732,12.65,26310,20560,21700,23830,27910,35970
Building and Grounds Cleaning and Maintenance,OR,55450,30.286,14.63,30430,21110,23170,27690,35050,43780
Personal Care and Service,OR,73690,40.253,13.77,28640,20950,22680,25790,31480,38620
Sales and Related,OR,183660,100.318,18.7,38890,21010,23000,28620,42960,68730
Office and Administrative Support,OR,269550,147.231,18.42,38320,23330,28510,36140,45960,57510
"Farming, Fishing, and Forestry",OR,13100,7.155,16.86,35060,21170,23640,30580,43720,53080
Construction and Extraction,OR,76480,41.777,25.11,52240,28400,35160,47950,65560,84000
"Installation, Maintenance, and Repair",OR,64890,35.445,23.16,48180,26520,33620,44860,59770,75660
Production,OR,112960,61.702,18.49,38450,22820,27360,35280,46290,59350
Transportation and Material Moving,OR,124200,67.839,18.31,38090,22120,25520,33750,45410,58240
All,PA,5781610,1000,23.44,48760,19020,24960,37540,59640,90340
Management,PA,240670,41.626,59.32,123380,52320,74410,107630,153050,#
Business and Financial Operations,PA,279180,48.288,35.24,73290,39430,51180,66020,87270,113390
Computer and Mathematical,PA,158660,27.442,39.93,83060,43200,57850,78580,103260,129040
Architecture and Engineering,PA,100060,17.306,37.9,78830,41320,55180,73430,97950,124200
"Life, Physical, and Social Science",PA,45490,7.869,35.48,73800,34590,46440,64540,90040,120970
Community and Social Service,PA,107240,18.549,21.3,44300,25880,31950,40380,53640,67940
Legal,PA,43340,7.497,50.18,104360,36200,50510,75370,134270,#
"Education, Training, and Library",PA,341440,59.055,28.09,58430,22790,32310,53560,75330,99370
"Arts, Design, Entertainment, Sports, and Media",PA,59070,10.217,23.89,49700,19060,27710,43300,62470,87080
Healthcare Practitioners and Technical,PA,397810,68.805,36.16,75210,32580,45710,62420,83640,122440
Healthcare Support,PA,182260,31.524,15.09,31380,21260,25200,29600,36080,44120
Protective Service,PA,127450,22.045,21.54,44800,19450,24660,37440,62490,81400
Food Preparation and Serving Related,PA,501670,86.769,11.24,23380,16600,17950,20470,26020,33850
Building and Grounds Cleaning and Maintenance,PA,170530,29.495,13.72,28530,17890,20920,26230,33990,42800
Personal Care and Service,PA,248200,42.93,12.36,25710,17270,19630,23220,28600,37330
Sales and Related,PA,553440,95.725,19.71,41000,17000,19320,26630,48750,81120
Office and Administrative Support,PA,940270,162.632,17.9,37220,20510,26300,34570,45370,58570
"Farming, Fishing, and Forestry",PA,6460,1.117,15.65,32550,17880,21740,29250,40480,52970
Construction and Extraction,PA,217180,37.564,24.44,50840,27830,35100,46430,61740,81120
"Installation, Maintenance, and Repair",PA,232020,40.13,22.58,46960,25500,33300,44280,58050,73610
Production,PA,378000,65.379,18.76,39010,21950,27800,36480,47490,60170
Transportation and Material Moving,PA,451170,78.035,17.43,36250,19330,24300,32570,44320,58460
All,RI,475910,1000,25.54,53110,21590,26560,40450,65330,97790
Management,RI,20810,43.731,64.4,133950,67110,88260,119290,160040,#
Business and Financial Operations,RI,27010,56.75,37.15,77270,43250,55210,71960,93230,116740
Computer and Mathematical,RI,14490,30.454,41.08,85450,45780,61870,83280,106960,126740
Architecture and Engineering,RI,8050,16.92,42.43,88260,46610,62230,82610,114580,134190
"Life, Physical, and Social Science",RI,2760,5.8,35.88,74640,38770,51740,70350,90820,115730
Community and Social Service,RI,8840,18.575,24.42,50800,27350,33920,45050,67370,82760
Legal,RI,3930,8.248,44.9,93390,41690,53290,73310,111540,185270
"Education, Training, and Library",RI,32450,68.194,30.04,62480,25120,35710,57830,79200,101400
"Arts, Design, Entertainment, Sports, and Media",RI,6810,14.303,28.11,58460,26560,36780,51980,72170,94260
Healthcare Practitioners and Technical,RI,30880,64.885,43.07,89580,40750,57680,74410,97300,149380
Healthcare Support,RI,19030,39.983,15.94,33160,22980,26460,31140,38160,46640
Protective Service,RI,12740,26.776,23.36,48580,24820,30250,44580,63190,77990
Food Preparation and Serving Related,RI,50030,105.126,12.76,26540,20620,20630,23670,29120,37160
Building and Grounds Cleaning and Maintenance,RI,15280,32.099,15.18,31580,20900,23160,28570,37640,46980
Personal Care and Service,RI,15240,32.027,13.83,28770,20630,22180,25330,30680,41810
Sales and Related,RI,45420,95.444,21.62,44960,20580,22640,29730,50930,84720
Office and Administrative Support,RI,73700,154.867,19.31,40160,22830,29110,38100,49160,59940
"Farming, Fishing, and Forestry",RI,240,0.501,16.91,35180,21420,24130,29680,39820,58490
Construction and Extraction,RI,16080,33.785,25.82,53710,31390,38130,50810,64620,82440
"Installation, Maintenance, and Repair",RI,15840,33.292,24.05,50030,26860,35120,47750,61690,78360
Production,RI,29090,61.132,18.83,39170,21720,25140,35030,48730,63780
Transportation and Material Moving,RI,27180,57.108,16.62,34570,20730,23060,30210,42850,53790
All,SC,2009460,1000,20.31,42240,17860,22030,32780,50750,76180
Management,SC,87760,43.671,48.44,100760,41100,60980,86790,124140,173040
Business and Financial Operations,SC,75380,37.512,30.18,62770,30870,41620,56790,76520,100280
Computer and Mathematical,SC,39530,19.672,34.94,72680,37150,49650,68200,91620,114980
Architecture and Engineering,SC,37700,18.762,37.35,77680,39620,54320,73610,96530,122210
"Life, Physical, and Social Science",SC,9700,4.827,30.82,64100,32570,42330,57600,78550,101710
Community and Social Service,SC,22640,11.265,20.51,42670,22280,29270,38780,52240,68630
Legal,SC,13150,6.542,35.48,73800,30160,38200,54790,83320,145000
"Education, Training, and Library",SC,112900,56.182,23.03,47910,19170,28290,45760,60630,77610
"Arts, Design, Entertainment, Sports, and Media",SC,17900,8.906,22.12,46010,19610,26420,36790,55890,78800
Healthcare Practitioners and Technical,SC,121130,60.279,35.4,73630,29600,41130,57660,78120,130130
Healthcare Support,SC,53900,26.826,13.48,28040,18330,21310,25420,31900,40020
Protective Service,SC,47960,23.867,18.01,37460,20390,25630,34690,45440,59080
Food Preparation and Serving Related,SC,200840,99.949,10.23,21270,16350,17350,19020,22970,30080
Building and Grounds Cleaning and Maintenance,SC,70060,34.863,11.63,24190,16850,18550,22000,27470,34780
Personal Care and Service,SC,56630,28.181,11.07,23030,16480,17720,19860,24610,35140
Sales and Related,SC,221070,110.014,16.03,33340,16680,18560,23540,37610,60160
Office and Administrative Support,SC,301110,149.844,16.4,34100,19700,24500,31490,40030,52130
"Farming, Fishing, and Forestry",SC,3930,1.957,17.08,35520,18420,23960,32060,44430,58060
Construction and Extraction,SC,78820,39.225,19.14,39820,22360,28190,36550,48530,62210
"Installation, Maintenance, and Repair",SC,93840,46.699,21.09,43870,24070,30970,40700,54130,68080
Production,SC,195020,97.053,18.25,37970,20870,25960,34750,46430,60350
Transportation and Material Moving,SC,148510,73.905,15.61,32480,18000,21540,28610,38700,52480
All,SD,419470,1000,19.6,40770,19860,23980,32340,47390,68740
Management,SD,11820,28.183,50.37,104770,45960,66260,92810,124320,172480
Business and Financial Operations,SD,19110,45.566,30.43,63290,38980,47130,58550,74100,93810
Computer and Mathematical,SD,8040,19.17,30.78,64020,35740,45620,60090,78270,98530
Architecture and Engineering,SD,4750,11.328,32.23,67040,36340,47570,64250,81040,102210
"Life, Physical, and Social Science",SD,3920,9.35,26.16,54400,29350,37290,51060,66120,82840
Community and Social Service,SD,6370,15.178,19.19,39920,25500,31840,38080,47300,57620
Legal,SD,1810,4.305,35.98,74830,36080,46110,61380,80150,122600
"Education, Training, and Library",SD,24410,58.191,19.84,41260,22740,29450,38470,48780,60910
"Arts, Design, Entertainment, Sports, and Media",SD,5340,12.726,18.49,38460,22600,27490,34360,45100,59340
Healthcare Practitioners and Technical,SD,30750,73.307,34.17,71080,32080,42210,54970,74770,118830
Healthcare Support,SD,10680,25.467,13.84,28780,21070,23390,27440,32070,38810
Protective Service,SD,6360,15.168,19.71,40990,22400,28430,37420,49540,63850
Food Preparation and Serving Related,SD,42030,100.195,10.87,22610,18800,19360,20960,24420,29330
Building and Grounds Cleaning and Maintenance,SD,17260,41.144,12.43,25850,19290,20800,24160,29130,35060
Personal Care and Service,SD,15020,35.817,12.23,25440,19120,20260,23300,28040,35250
Sales and Related,SD,46720,111.381,17.85,37130,18840,20380,26040,44280,67660
Office and Administrative Support,SD,63290,150.884,15.07,31340,20570,24440,29720,36680,44680
"Farming, Fishing, and Forestry",SD,1640,3.919,14.62,30400,21590,24310,28350,33840,42700
Construction and Extraction,SD,22020,52.5,18.9,39320,25950,30030,36910,46670,58230
"Installation, Maintenance, and Repair",SD,16150,38.51,22.04,45850,28240,33920,42000,54860,70980
Production,SD,32120,76.562,16.36,34020,22990,26880,31570,39110,48500
Transportation and Material Moving,SD,29850,71.15,16.25,33800,20750,24470,30340,39080,52220
All,TN,2915750,1000,20.94,43550,18210,22960,33860,51660,77550
Management,TN,162650,55.784,47.01,97770,38040,55460,81140,120980,175730
Business and Financial Operations,TN,120350,41.277,31.14,64760,32840,42960,58050,77800,102610
Computer and Mathematical,TN,54730,18.77,35.6,74050,37460,50970,70140,94120,116700
Architecture and Engineering,TN,45370,15.562,35.55,73950,34620,47840,68380,94310,121190
"Life, Physical, and Social Science",TN,16010,5.489,31.11,64710,32470,41200,56160,76730,106240
Community and Social Service,TN,30970,10.62,19.65,40880,21240,29410,39580,49700,62290
Legal,TN,13590,4.661,46.99,97740,32710,48120,70870,121900,202010
"Education, Training, and Library",TN,154000,52.818,22.95,47740,18940,30000,45360,58380,74210
"Arts, Design, Entertainment, Sports, and Media",TN,30810,10.566,24.52,51000,19590,27140,40570,59420,86260
Healthcare Practitioners and Technical,TN,192900,66.158,33.65,70000,30210,39730,55020,76700,122920
Healthcare Support,TN,74590,25.582,14.08,29290,19200,22020,26430,33300,43070
Protective Service,TN,68660,23.549,18.24,37930,19070,24200,33220,47800,61950
Food Preparation and Serving Related,TN,271390,93.076,10.24,21300,16380,17440,19200,23320,29660
Building and Grounds Cleaning and Maintenance,TN,79460,27.252,12.23,25430,17020,19060,23030,29000,37560
Personal Care and Service,TN,76630,26.281,11.61,24150,16610,17990,20500,25380,37180
Sales and Related,TN,286000,98.086,17.58,36580,16900,19090,24630,40650,67560
Office and Administrative Support,TN,476090,163.284,16.94,35230,19910,24830,32060,41750,55580
"Farming, Fishing, and Forestry",TN,4980,1.709,13.91,28930,18070,21430,26250,34680,43040
Construction and Extraction,TN,93220,31.971,19.53,40610,24390,29700,37400,48730,62500
